Panelist ID,Sex code,Date of birth,Marital status,Household status,Working status,Terminal age of education,Life stage,Ethnic Origin,Disability,No of TV Sets,No of VCRs,No of PVRs,No of DVDs,No of People,Social Class,Presence of Children,Demographic cell 1,Number of DVD Recorders,Number of DVD Players,Number of Sky PVRs,Number of other PVRs,Broadband,Mosaic Classification,Aire@Morning,Aire@Daytime,Aire@Early Fringe,Aire@Late Fringe,Aire@Prime,Aire@Late Night,Aire@Overnight,Cable@Morning,Cable@Daytime,Cable@Early Fringe,Cable@Late Fringe,Cable@Prime,Cable@Late Night,Cable@Overnight,Deportes@Morning,Deportes@Daytime,Deportes@Early Fringe,Deportes@Late Fringe,Deportes@Prime,Deportes@Late Night,Deportes@Overnight,Infantil@Morning,Infantil@Daytime,Infantil@Early Fringe,Infantil@Late Fringe,Infantil@Prime,Infantil@Late Night,Infantil@Overnight
003487904,1,2012-07-01,2,1,5,4,99,01,003,02,0,2,2,05,C2,4,04,0,2,2,0,1,030,21.00,472.00,162.00,52.00,39.00,0.00,0.00,36.00,968.00,83.00,502.00,125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
005096605,1,2013-04-01,2,1,5,4,99,01,003,03,0,1,1,05,C1,3,05,0,1,0,1,1,007,0.00,0.00,1.00,117.00,0.00,0.00,0.00,0.00,0.00,9.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,31.00,0.00,0.00,0.00
003025103,1,1949-05-01,1,1,4,2,11,01,003,04,1,3,2,04,C1,1,01,0,2,0,3,1,026,22.00,134.00,0.00,192.00,255.00,69.00,226.00,11.00,16.00,10.00,79.00,307.00,37.00,166.00,9.00,65.00,5.00,10.00,30.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
005158001,1,1994-10-01,1,3,1,2,03,01,003,01,0,0,0,02,C2,1,02,0,0,0,0,1,042,240.00,246.00,0.00,132.00,3.00,0.00,0.00,0.00,78.00,94.00,108.00,115.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
005012701,2,1994-08-01,1,2,1,1,03,01,003,02,0,0,0,02,C2,1,02,0,0,0,0,1,099,51.00,300.00,0.00,228.00,196.00,5.00,128.00,0.00,66.00,159.00,129.00,169.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
002666901,2,1940-08-01,2,4,4,3,06,10,003,01,0,1,0,01,AB,1,09,0,0,0,1,1,004,0.00,82.00,264.00,672.00,810.00,0.00,0.00,0.00,514.00,819.00,1498.00,792.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
001709201,1,1956-09-01,2,4,1,3,06,01,002,01,0,0,0,01,C1,1,07,0,0,0,0,1,041,200.00,281.00,1333.00,2227.00,2032.00,0.00,300.00,6.00,116.00,0.00,37.00,447.00,0.00,4.00,0.00,0.00,0.00,133.00,116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003229401,1,1937-05-01,2,4,4,1,06,01,002,01,0,0,1,01,E ,1,10,0,1,0,0,2,020,0.00,481.00,1022.00,1466.00,3096.00,633.00,66.00,0.00,153.00,131.00,492.00,1471.00,366.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
005032201,1,1970-05-01,1,3,1,3,10,01,003,02,0,0,1,04,AB,5,05,0,1,0,0,1,011,76.00,113.00,258.00,147.00,87.00,60.00,0.00,0.00,40.00,0.00,0.00,51.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
002375001,2,1940-11-01,2,4,4,1,06,01,001,01,0,0,1,01,E ,1,10,0,1,0,0,1,059,0.00,385.00,237.00,368.00,938.00,0.00,0.00,0.00,9.00,73.00,2491.00,3166.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003607002,1,1945-08-01,1,3,4,1,07,01,003,03,0,1,1,02,AB,1,09,0,1,0,1,1,099,200.00,575.00,1091.00,3089.00,3456.00,15.00,0.00,845.00,593.00,316.00,30.00,178.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,18.00,0.00,0.00,11.00,0.00,0.00,0.00
005045501,2,1960-10-01,2,4,4,2,12,01,003,04,0,4,3,02,C1,1,09,0,3,4,0,1,099,1022.00,1193.00,593.00,2962.00,3013.00,534.00,358.00,3.00,1370.00,0.00,0.00,536.00,46.00,308.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00
003268402,1,1981-07-01,2,1,4,3,04,01,002,01,0,1,1,02,AB,1,09,0,1,0,1,1,099,0.00,554.00,168.00,125.00,275.00,0.00,0.00,0.00,0.00,0.00,20.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003997302,2,1966-04-01,2,4,1,2,11,01,003,01,0,0,0,02,C1,1,07,0,0,0,0,1,013,1754.00,902.00,361.00,1529.00,2004.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
005045901,1,1970-07-01,1,3,1,3,08,01,003,01,0,0,0,04,D ,3,06,0,0,0,0,1,014,3.00,0.00,0.00,0.00,238.00,0.00,0.00,71.00,2.00,0.00,0.00,146.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000969903,1,2003-04-01,2,1,5,4,99,01,003,02,0,2,1,04,AB,5,05,0,1,2,0,1,037,6.00,0.00,35.00,59.00,26.00,4.00,0.00,161.00,1.00,138.00,173.00,197.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,356.00,0.00,13.00,117.00,32.00,0.00,0.00
000867401,2,1930-11-01,2,4,4,1,06,01,002,02,0,1,1,01,E ,1,10,0,1,0,1,2,052,1940.00,6030.00,1749.00,3842.00,4136.00,217.00,0.00,0.00,0.00,9.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003756808,1,1968-11-01,2,1,1,2,11,01,003,07,1,6,1,04,C1,1,07,0,1,6,1,1,038,422.00,212.00,89.00,688.00,192.00,11.00,214.00,11.00,83.00,85.00,373.00,236.00,2.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
004101801,2,1979-06-01,2,4,1,3,04,01,003,01,0,0,1,01,AB,1,01,0,1,0,0,1,099,0.00,699.00,63.00,507.00,394.00,0.00,0.00,0.00,243.00,193.00,1220.00,421.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000911901,2,1969-05-01,2,4,2,3,11,01,003,01,0,0,1,02,C1,1,07,0,1,0,0,1,053,269.00,81.00,327.00,340.00,948.00,24.00,2.00,63.00,29.00,191.00,996.00,838.00,0.00,19.00,0.00,0.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003048601,2,1958-06-01,2,4,1,3,06,01,003,01,0,0,0,01,D ,1,08,0,0,0,0,1,021,3331.00,2427.00,2979.00,1596.00,599.00,0.00,430.00,0.00,0.00,0.00,0.00,229.00,27.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003867602,2,1962-07-01,1,1,2,2,11,01,003,02,0,2,2,04,AB,1,07,0,2,0,2,1,026,0.00,289.00,64.00,1336.00,2201.00,159.00,0.00,0.00,2.00,121.00,273.00,775.00,443.00,0.00,0.00,74.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000291701,1,1933-04-01,1,3,4,3,07,01,003,02,0,1,1,02,AB,1,09,0,1,0,1,2,018,40.00,874.00,853.00,656.00,654.00,10.00,0.00,0.00,792.00,708.00,2192.00,2349.00,110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000056601,1,1935-04-01,1,4,4,1,07,01,001,02,0,1,2,02,C2,1,10,0,2,0,1,1,057,89.00,5151.00,1327.00,868.00,374.00,0.00,0.00,516.00,1891.00,2034.00,2041.00,560.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
001116602,1,1949-02-01,1,3,4,3,07,01,003,02,0,1,1,02,AB,1,07,0,1,0,1,1,007,110.00,321.00,235.00,548.00,1961.00,107.00,68.00,216.00,233.00,76.00,513.00,616.00,80.00,87.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003909401,1,1955-07-01,1,3,2,3,07,01,003,01,0,1,0,02,AB,1,07,0,0,0,1,1,012,0.00,0.00,326.00,431.00,526.00,31.00,0.00,0.00,0.00,40.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000056801,2,1977-06-01,1,4,1,2,09,07,003,01,0,1,0,04,C1,7,05,0,0,0,1,1,063,0.00,37.00,44.00,144.00,214.00,67.00,4.00,0.00,1.00,0.00,219.00,321.00,381.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
004066001,1,1995-09-01,2,2,5,4,02,01,003,02,0,1,1,02,C1,1,01,0,1,0,1,1,027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003598901,2,1970-11-01,1,2,1,2,05,01,003,01,0,0,1,02,C1,1,07,0,1,0,0,1,009,0.00,523.00,508.00,859.00,900.00,2.00,0.00,0.00,443.00,135.00,1340.00,723.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003972801,2,1986-01-01,2,4,2,2,02,01,002,02,0,2,1,01,C1,1,01,0,1,2,0,1,019,0.00,270.00,205.00,653.00,1131.00,383.00,0.00,0.00,3.00,0.00,180.00,1879.00,1195.00,50.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
005227402,2,1962-09-01,1,2,1,3,07,01,003,01,0,0,1,02,C1,1,07,0,1,0,0,1,099,8.00,1722.00,586.00,1507.00,1346.00,104.00,0.00,0.00,442.00,433.00,669.00,1773.00,692.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003095604,2,1997-07-01,2,1,5,4,01,06,003,01,0,1,1,04,D ,1,08,0,1,1,0,1,059,14.00,44.00,0.00,0.00,15.00,0.00,0.00,155.00,1251.00,301.00,622.00,762.00,164.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,135.00,0.00,0.00,0.00,0.00,0.00
002662601,2,1961-07-01,2,4,4,3,06,01,003,02,0,1,1,01,AB,1,09,1,0,0,1,1,026,790.00,3909.00,2135.00,1381.00,1978.00,1145.00,2253.00,69.00,934.00,404.00,257.00,1359.00,666.00,337.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
002599204,1,1990-12-01,2,1,4,3,01,10,002,03,0,2,1,05,C2,1,08,0,1,1,1,1,028,0.00,72.00,0.00,123.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
001197602,2,1959-01-01,1,2,2,2,11,01,002,03,0,2,2,03,D ,1,08,0,2,0,2,1,037,64.00,1233.00,333.00,850.00,936.00,1.00,46.00,227.00,757.00,189.00,364.00,498.00,642.00,15.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003579801,2,1972-11-01,1,2,4,2,11,01,003,02,0,1,2,04,E ,1,08,0,2,1,0,1,039,0.00,105.00,992.00,16.00,456.00,0.00,0.00,61.00,509.00,190.00,345.00,459.00,0.00,11.00,0.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
001042601,1,1977-07-01,1,3,1,3,09,01,003,01,0,0,0,04,C1,7,05,0,0,0,0,1,009,122.00,352.00,281.00,386.00,1609.00,509.00,0.00,0.00,0.00,0.00,0.00,153.00,73.00,36.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003831501,2,1956-02-01,2,4,2,1,06,01,001,01,0,1,0,01,D ,1,08,0,0,0,1,1,054,501.00,476.00,655.00,1725.00,1097.00,376.00,11.00,788.00,2527.00,1565.00,300.00,1501.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003534501,2,1971-09-01,1,4,2,2,11,01,003,04,0,1,2,04,AB,1,07,0,2,1,0,1,031,423.00,752.00,2633.00,2425.00,2022.00,0.00,0.00,144.00,320.00,8.00,480.00,1419.00,10.00,0.00,2.00,486.00,228.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00
003089505,2,1997-04-01,2,1,4,3,01,05,003,01,0,1,1,05,C2,1,08,0,1,1,0,1,058,0.00,28.00,22.00,46.00,26.00,48.00,0.00,3.00,115.00,11.00,4.00,13.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
005313501,2,1964-09-01,1,4,1,2,11,01,003,03,0,1,0,03,AB,1,07,0,0,0,1,1,015,0.00,18.00,289.00,27.00,123.00,0.00,0.00,0.00,0.00,209.00,77.00,78.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003597003,2,2001-01-01,2,1,5,4,09,01,003,01,0,1,0,04,AB,3,05,0,0,0,1,1,048,0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,179.00,1.00,38.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,5.00,63.00,0.00,0.00,0.00,0.00
004063302,1,2012-04-01,2,1,5,4,99,01,003,02,0,1,0,05,D ,7,06,0,0,1,0,1,055,844.00,148.00,63.00,444.00,77.00,0.00,189.00,119.00,538.00,686.00,70.00,19.00,19.00,97.00,44.00,193.00,193.00,155.00,0.00,0.00,0.00,666.00,798.00,173.00,169.00,1.00,13.00,237.00
005313406,1,2013-10-01,2,1,5,4,99,01,003,06,0,2,4,05,AB,7,05,0,4,0,2,1,009,0.00,41.00,154.00,271.00,119.00,0.00,0.00,730.00,82.00,474.00,36.00,0.00,3.00,298.00,1.00,67.00,1.00,7.00,0.00,0.00,0.00,20.00,926.00,446.00,48.00,0.00,0.00,244.00
003415402,2,1957-01-01,1,2,2,2,11,12,003,02,0,1,0,05,C1,1,07,0,0,0,1,1,055,0.00,0.00,0.00,0.00,2481.00,714.00,19.00,0.00,0.00,0.00,0.00,28.00,413.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003940601,2,1968-11-01,2,4,4,2,11,01,002,01,0,0,1,02,D ,1,08,0,1,0,0,1,047,0.00,2033.00,1272.00,601.00,119.00,1.00,0.00,0.00,899.00,634.00,1000.00,955.00,107.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000715001,1,1972-09-01,2,4,1,3,04,01,003,02,0,0,2,01,AB,1,07,0,2,0,0,1,099,995.00,673.00,308.00,1383.00,2904.00,409.00,123.00,0.00,18.00,0.00,128.00,330.00,183.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003946103,1,1999-03-01,2,1,5,4,10,15,003,01,0,1,0,05,C1,5,05,0,0,1,0,1,058,0.00,250.00,86.00,378.00,774.00,107.00,0.00,0.00,482.00,149.00,465.00,900.00,109.00,0.00,0.00,116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003099702,2,1969-09-01,1,2,4,2,10,06,003,01,0,1,1,06,E ,5,06,0,1,1,0,1,030,19.00,63.00,0.00,0.00,5.00,0.00,0.00,2704.00,3825.00,1088.00,1730.00,644.00,0.00,159.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.00,132.00,75.00,33.00,29.00,0.00,0.00
005112202,2,1982-03-01,1,1,4,3,08,01,003,02,0,2,0,03,C1,2,03,0,0,0,2,1,025,135.00,3765.00,1308.00,318.00,983.00,245.00,0.00,33.00,1158.00,148.00,598.00,1664.00,223.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
004013304,1,2013-04-01,2,1,5,4,99,01,003,02,0,2,0,05,C2,4,04,0,0,2,0,1,099,737.00,3.00,11.00,475.00,19.00,0.00,0.00,625.00,622.00,321.00,286.00,0.00,0.00,44.00,2.00,0.00,41.00,22.00,0.00,0.00,0.00,251.00,341.00,452.00,310.00,0.00,0.00,0.00
003636505,2,2008-04-01,2,1,5,4,99,01,003,01,0,1,1,05,AB,7,05,0,1,0,1,1,004,1.00,513.00,47.00,596.00,755.00,0.00,0.00,0.00,9.00,2.00,52.00,48.00,9.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
003867104,2,2001-08-01,2,1,5,4,01,01,003,02,0,2,2,04,AB,1,07,0,2,0,1,1,006,0.00,0.00,0.00,88.00,672.00,32.00,0.00,0.00,0.00,0.00,154.00,435.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
