Sex code,Date of birth,Marital status,Household status,Ethnic Origin,Disability,No of TV Sets,No of VCRs,No of PVRs,No of DVDs,Social Class,Presence of Children,Number of DVD Recorders,Number of DVD Players,Number of Sky PVRs,Number of other PVRs,Broadband,Aire@Morning,Aire@Daytime,Aire@Early Fringe,Aire@Late Fringe,Aire@Prime,Aire@Late Night,Aire@Overnight,Cable@Morning,Cable@Daytime,Cable@Early Fringe,Cable@Late Fringe,Cable@Prime,Cable@Late Night,Cable@Overnight,Deportes@Morning,Deportes@Daytime,Deportes@Early Fringe,Deportes@Late Fringe,Deportes@Prime,Deportes@Late Night,Deportes@Overnight,Infantil@Morning,Infantil@Daytime,Infantil@Early Fringe,Infantil@Late Fringe,Infantil@Prime,Infantil@Late Night,Infantil@Overnight
2,1978-11-01,1,2,10,3,1,0,1,0,C1,2,0,0,0,0,1,29.0,42.0,169.0,218.0,478.0,0.0,0.0,1049.0,202.0,68.0,677.0,355.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2,1928-06-01,1,2,1,1,1,0,1,1,AB,1,0,1,0,1,2,112.0,386.0,1829.0,3826.0,1419.0,0.0,0.0,0.0,0.0,0.0,1.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1971-12-01,1,2,1,3,1,0,1,0,AB,5,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2012-05-01,2,1,1,3,2,0,2,1,C1,3,0,1,1,1,1,39.0,345.0,346.0,925.0,23.0,4.0,0.0,108.0,202.0,283.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,330.0,565.0,175.0,0.0,0.0,45.0
1,1984-06-01,1,1,2,3,2,0,1,0,E ,1,0,0,1,0,1,0.0,141.0,53.0,96.0,21.0,0.0,0.0,0.0,52.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1999-10-01,2,1,1,3,1,0,1,1,AB,1,1,0,1,0,1,0.0,103.0,91.0,1.0,73.0,82.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2012-07-01,2,1,1,3,2,0,2,2,C2,4,0,2,2,0,1,21.0,472.0,162.0,52.0,39.0,0.0,0.0,36.0,968.0,83.0,502.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013-04-01,2,1,1,3,3,0,1,1,C1,3,0,1,0,1,1,0.0,0.0,1.0,117.0,0.0,0.0,0.0,0.0,0.0,9.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,31.0,0.0,0.0,0.0
1,1949-05-01,1,1,1,3,4,1,3,2,C1,1,0,2,0,3,1,22.0,134.0,0.0,192.0,255.0,69.0,226.0,11.0,16.0,10.0,79.0,307.0,37.0,166.0,9.0,65.0,5.0,10.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1994-10-01,1,3,1,3,1,0,0,0,C2,1,0,0,0,0,1,240.0,246.0,0.0,132.0,3.0,0.0,0.0,0.0,78.0,94.0,108.0,115.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1994-08-01,1,2,1,3,2,0,0,0,C2,1,0,0,0,0,1,51.0,300.0,0.0,228.0,196.0,5.0,128.0,0.0,66.0,159.0,129.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1940-08-01,2,4,10,3,1,0,1,0,AB,1,0,0,0,1,1,0.0,82.0,264.0,672.0,810.0,0.0,0.0,0.0,514.0,819.0,1498.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1956-09-01,2,4,1,2,1,0,0,0,C1,1,0,0,0,0,1,200.0,281.0,1333.0,2227.0,2032.0,0.0,300.0,6.0,116.0,0.0,37.0,447.0,0.0,4.0,0.0,0.0,0.0,133.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1937-05-01,2,4,1,2,1,0,0,1,E ,1,0,1,0,0,2,0.0,481.0,1022.0,1466.0,3096.0,633.0,66.0,0.0,153.0,131.0,492.0,1471.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1970-05-01,1,3,1,3,2,0,0,1,AB,5,0,1,0,0,1,76.0,113.0,258.0,147.0,87.0,60.0,0.0,0.0,40.0,0.0,0.0,51.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1940-11-01,2,4,1,1,1,0,0,1,E ,1,0,1,0,0,1,0.0,385.0,237.0,368.0,938.0,0.0,0.0,0.0,9.0,73.0,2491.0,3166.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1945-08-01,1,3,1,3,3,0,1,1,AB,1,0,1,0,1,1,200.0,575.0,1091.0,3089.0,3456.0,15.0,0.0,845.0,593.0,316.0,30.0,178.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,0.0,11.0,0.0,0.0,0.0
2,1960-10-01,2,4,1,3,4,0,4,3,C1,1,0,3,4,0,1,1022.0,1193.0,593.0,2962.0,3013.0,534.0,358.0,3.0,1370.0,0.0,0.0,536.0,46.0,308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1981-07-01,2,1,1,2,1,0,1,1,AB,1,0,1,0,1,1,0.0,554.0,168.0,125.0,275.0,0.0,0.0,0.0,0.0,0.0,20.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1966-04-01,2,4,1,3,1,0,0,0,C1,1,0,0,0,0,1,1754.0,902.0,361.0,1529.0,2004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1970-07-01,1,3,1,3,1,0,0,0,D ,3,0,0,0,0,1,3.0,0.0,0.0,0.0,238.0,0.0,0.0,71.0,2.0,0.0,0.0,146.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2003-04-01,2,1,1,3,2,0,2,1,AB,5,0,1,2,0,1,6.0,0.0,35.0,59.0,26.0,4.0,0.0,161.0,1.0,138.0,173.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,13.0,117.0,32.0,0.0,0.0
2,1930-11-01,2,4,1,2,2,0,1,1,E ,1,0,1,0,1,2,1940.0,6030.0,1749.0,3842.0,4136.0,217.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1968-11-01,2,1,1,3,7,1,6,1,C1,1,0,1,6,1,1,422.0,212.0,89.0,688.0,192.0,11.0,214.0,11.0,83.0,85.0,373.0,236.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1979-06-01,2,4,1,3,1,0,0,1,AB,1,0,1,0,0,1,0.0,699.0,63.0,507.0,394.0,0.0,0.0,0.0,243.0,193.0,1220.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1969-05-01,2,4,1,3,1,0,0,1,C1,1,0,1,0,0,1,269.0,81.0,327.0,340.0,948.0,24.0,2.0,63.0,29.0,191.0,996.0,838.0,0.0,19.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1958-06-01,2,4,1,3,1,0,0,0,D ,1,0,0,0,0,1,3331.0,2427.0,2979.0,1596.0,599.0,0.0,430.0,0.0,0.0,0.0,0.0,229.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1962-07-01,1,1,1,3,2,0,2,2,AB,1,0,2,0,2,1,0.0,289.0,64.0,1336.0,2201.0,159.0,0.0,0.0,2.0,121.0,273.0,775.0,443.0,0.0,0.0,74.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1933-04-01,1,3,1,3,2,0,1,1,AB,1,0,1,0,1,2,40.0,874.0,853.0,656.0,654.0,10.0,0.0,0.0,792.0,708.0,2192.0,2349.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1935-04-01,1,4,1,1,2,0,1,2,C2,1,0,2,0,1,1,89.0,5151.0,1327.0,868.0,374.0,0.0,0.0,516.0,1891.0,2034.0,2041.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1949-02-01,1,3,1,3,2,0,1,1,AB,1,0,1,0,1,1,110.0,321.0,235.0,548.0,1961.0,107.0,68.0,216.0,233.0,76.0,513.0,616.0,80.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1955-07-01,1,3,1,3,1,0,1,0,AB,1,0,0,0,1,1,0.0,0.0,326.0,431.0,526.0,31.0,0.0,0.0,0.0,40.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1977-06-01,1,4,7,3,1,0,1,0,C1,7,0,0,0,1,1,0.0,37.0,44.0,144.0,214.0,67.0,4.0,0.0,1.0,0.0,219.0,321.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1995-09-01,2,2,1,3,2,0,1,1,C1,1,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1970-11-01,1,2,1,3,1,0,0,1,C1,1,0,1,0,0,1,0.0,523.0,508.0,859.0,900.0,2.0,0.0,0.0,443.0,135.0,1340.0,723.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1986-01-01,2,4,1,2,2,0,2,1,C1,1,0,1,2,0,1,0.0,270.0,205.0,653.0,1131.0,383.0,0.0,0.0,3.0,0.0,180.0,1879.0,1195.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1962-09-01,1,2,1,3,1,0,0,1,C1,1,0,1,0,0,1,8.0,1722.0,586.0,1507.0,1346.0,104.0,0.0,0.0,442.0,433.0,669.0,1773.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1997-07-01,2,1,6,3,1,0,1,1,D ,1,0,1,1,0,1,14.0,44.0,0.0,0.0,15.0,0.0,0.0,155.0,1251.0,301.0,622.0,762.0,164.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0
2,1961-07-01,2,4,1,3,2,0,1,1,AB,1,1,0,0,1,1,790.0,3909.0,2135.0,1381.0,1978.0,1145.0,2253.0,69.0,934.0,404.0,257.0,1359.0,666.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1990-12-01,2,1,10,2,3,0,2,1,C2,1,0,1,1,1,1,0.0,72.0,0.0,123.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1959-01-01,1,2,1,2,3,0,2,2,D ,1,0,2,0,2,1,64.0,1233.0,333.0,850.0,936.0,1.0,46.0,227.0,757.0,189.0,364.0,498.0,642.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1972-11-01,1,2,1,3,2,0,1,2,E ,1,0,2,1,0,1,0.0,105.0,992.0,16.0,456.0,0.0,0.0,61.0,509.0,190.0,345.0,459.0,0.0,11.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1977-07-01,1,3,1,3,1,0,0,0,C1,7,0,0,0,0,1,122.0,352.0,281.0,386.0,1609.0,509.0,0.0,0.0,0.0,0.0,0.0,153.0,73.0,36.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1956-02-01,2,4,1,1,1,0,1,0,D ,1,0,0,0,1,1,501.0,476.0,655.0,1725.0,1097.0,376.0,11.0,788.0,2527.0,1565.0,300.0,1501.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1971-09-01,1,4,1,3,4,0,1,2,AB,1,0,2,1,0,1,423.0,752.0,2633.0,2425.0,2022.0,0.0,0.0,144.0,320.0,8.0,480.0,1419.0,10.0,0.0,2.0,486.0,228.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
2,1997-04-01,2,1,5,3,1,0,1,1,C2,1,0,1,1,0,1,0.0,28.0,22.0,46.0,26.0,48.0,0.0,3.0,115.0,11.0,4.0,13.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1964-09-01,1,4,1,3,3,0,1,0,AB,1,0,0,0,1,1,0.0,18.0,289.0,27.0,123.0,0.0,0.0,0.0,0.0,209.0,77.0,78.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2001-01-01,2,1,1,3,1,0,1,0,AB,3,0,0,0,1,1,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,179.0,1.0,38.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,63.0,0.0,0.0,0.0,0.0
1,2012-04-01,2,1,1,3,2,0,1,0,D ,7,0,0,1,0,1,844.0,148.0,63.0,444.0,77.0,0.0,189.0,119.0,538.0,686.0,70.0,19.0,19.0,97.0,44.0,193.0,193.0,155.0,0.0,0.0,0.0,666.0,798.0,173.0,169.0,1.0,13.0,237.0
1,2013-10-01,2,1,1,3,6,0,2,4,AB,7,0,4,0,2,1,0.0,41.0,154.0,271.0,119.0,0.0,0.0,730.0,82.0,474.0,36.0,0.0,3.0,298.0,1.0,67.0,1.0,7.0,0.0,0.0,0.0,20.0,926.0,446.0,48.0,0.0,0.0,244.0
2,1957-01-01,1,2,12,3,2,0,1,0,C1,1,0,0,0,1,1,0.0,0.0,0.0,0.0,2481.0,714.0,19.0,0.0,0.0,0.0,0.0,28.0,413.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1968-11-01,2,4,1,2,1,0,0,1,D ,1,0,1,0,0,1,0.0,2033.0,1272.0,601.0,119.0,1.0,0.0,0.0,899.0,634.0,1000.0,955.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1972-09-01,2,4,1,3,2,0,0,2,AB,1,0,2,0,0,1,995.0,673.0,308.0,1383.0,2904.0,409.0,123.0,0.0,18.0,0.0,128.0,330.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1999-03-01,2,1,15,3,1,0,1,0,C1,5,0,0,1,0,1,0.0,250.0,86.0,378.0,774.0,107.0,0.0,0.0,482.0,149.0,465.0,900.0,109.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1969-09-01,1,2,6,3,1,0,1,1,E ,5,0,1,1,0,1,19.0,63.0,0.0,0.0,5.0,0.0,0.0,2704.0,3825.0,1088.0,1730.0,644.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,132.0,75.0,33.0,29.0,0.0,0.0
2,1982-03-01,1,1,1,3,2,0,2,0,C1,2,0,0,0,2,1,135.0,3765.0,1308.0,318.0,983.0,245.0,0.0,33.0,1158.0,148.0,598.0,1664.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2013-04-01,2,1,1,3,2,0,2,0,C2,4,0,0,2,0,1,737.0,3.0,11.0,475.0,19.0,0.0,0.0,625.0,622.0,321.0,286.0,0.0,0.0,44.0,2.0,0.0,41.0,22.0,0.0,0.0,0.0,251.0,341.0,452.0,310.0,0.0,0.0,0.0
2,2008-04-01,2,1,1,3,1,0,1,1,AB,7,0,1,0,1,1,1.0,513.0,47.0,596.0,755.0,0.0,0.0,0.0,9.0,2.0,52.0,48.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2001-08-01,2,1,1,3,2,0,2,2,AB,1,0,2,0,1,1,0.0,0.0,0.0,88.0,672.0,32.0,0.0,0.0,0.0,0.0,154.0,435.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2010-11-01,2,1,1,3,1,0,1,0,D ,3,0,0,1,0,1,28.0,131.0,16.0,3.0,0.0,0.0,0.0,1135.0,893.0,434.0,120.0,23.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,1434.0,703.0,449.0,89.0,116.0,129.0
2,2006-07-01,2,1,1,3,1,0,1,1,AB,7,0,1,1,0,1,5.0,0.0,2.0,67.0,4.0,7.0,16.0,245.0,129.0,0.0,118.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,461.0,34.0,43.0,529.0,106.0,0.0,0.0
2,1993-05-01,2,1,5,3,3,1,2,0,C2,7,0,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,146.0,42.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
2,1959-10-01,2,4,1,3,1,0,0,1,C1,1,0,1,0,0,1,15.0,202.0,245.0,2651.0,665.0,99.0,0.0,24.0,224.0,43.0,91.0,631.0,32.0,0.0,0.0,0.0,2.0,173.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1993-08-01,1,3,1,3,1,0,1,0,E ,1,0,0,0,1,1,0.0,0.0,13.0,58.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2,1959-04-01,1,1,1,3,4,1,3,2,C1,1,0,2,0,3,1,23.0,179.0,0.0,277.0,588.0,2.0,0.0,28.0,219.0,8.0,132.0,434.0,0.0,9.0,0.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1979-04-01,1,2,1,3,3,0,0,0,C1,3,0,0,0,0,1,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,1.0,12.0,102.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1990-07-01,1,1,1,3,1,0,1,0,C1,1,0,0,1,0,1,0.0,87.0,110.0,28.0,82.0,3.0,0.0,4.0,90.0,0.0,33.0,303.0,65.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1982-06-01,2,3,1,1,1,0,1,0,AB,1,0,0,0,1,1,0.0,0.0,2.0,103.0,399.0,0.0,0.0,0.0,0.0,0.0,1.0,117.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
